索引ページ,列,行,用語,掲載ページ,要確認の理由,読み取り候補1,読み取り候補2
935,1,29,A/D変換,160,用語の読み取り候補が不一致,A/D变换,A/D変換
935,1,30,ABC分析conconepascsnscascancapsco,849,用語の読み取り候補が不一致,ABC分析,ABC分析conconepascsnscascancapsco
935,1,31,Accelerated GraphicsPort,258,用語の読み取り候補が不一致,Accelerated GraphicsPort,AcceleratedGraphicsPortTU
935,1,32,accountability人,609,用語の読み取り候補が不一致,accountability,accountability人
935,1,34,AddressResolutionProtocol,561,英字の用語が不鮮明 / ページ認識の確度,AddressResolutionProtocol,AddressResolutionProtocol
935,1,35,AES,"512,660",英字の用語が不鮮明,AES,AESTTY
935,1,36,AGP,258,英字の用語が不鮮明,AGP,AGPee
935,1,39,ALU,167,英字の用語が不鮮明,ALU,ALU
935,1,40,AMP,202,英字の用語が不鮮明 / ページ認識の確度 / 用語の読み取り候補が不一致,AMP,AMPeeceo
935,1,41,AND,"56,141",英字の用語が不鮮明 / 用語の読み取り候補が不一致,AND,ANDancccacccsccanscscocescccemeccccca
935,1,42,Application Specific Integrated C,158,補完した行を要確認,,Application Specific Integrated C
935,1,44,Artificial Intelligence,600,用語の読み取り候補が不一致,Artificial Intelligence,ArtificialIntelligenceTI
935,1,45,ASC,465,英字の用語が不鮮明,ASC,ASCTP
935,1,46,ASCI,127,英字の用語が不鮮明 / 用語の読み取り候補が不一致,ASCI,ASCII
935,1,47,ASCIIのコード表,126,用語の読み取り候補が不一致,AS表,ASCIIのコード表
935,1,48,ASIC,158,英字の用語が不鮮明 / 用語の読み取り候補が不一致,ASIC,SI
935,1,51,ATA,260,英字の用語が不鮮明,ATA,ATA
935,1,52,ATM交换方式,506,用語の読み取り候補が不一致,ATM交换方式,ATM交
935,2,1,AuthenticationHeader,663,英字の用語が不鮮明 / 用語の読み取り候補が不一致,AuthenticationHeader,AuthenticationHeaderee
935,2,2,authenticity,609,英字の用語が不鮮明,authenticity,authenticity
935,2,3,AVG,466,英字の用語が不鮮明,AVG,AVG
935,2,5,B(バイト)TTYTTYTTTTTYTTYTYTTTTTYT,124,用語の読み取り候補が不一致,B(),B(バイト)TTYTTYTTTTTYTTYTYTTTTTYT
935,2,8,BASIC,353,英字の用語が不鮮明 / 用語の読み取り候補が不一致,BASIC,BASICee
935,2,9,BCC,588,英字の用語が不鮮明,BCC,BCCsee
935,2,10,BCP,822,英字の用語が不鮮明,BCP,BCPor
935,2,11,BehaviorMethod,635,英字の用語が不鮮明,BehaviorMethod,BehaviorMethod
935,2,12,BETWEEN,462,英字の用語が不鮮明 / 用語の読み取り候補が不一致,BETWEEN,BETW
935,2,14,bit,122,英字の用語が不鮮明 / 用語の読み取り候補が不一致,bit,bitevevveespeesewwnwes
935,2,15,BitsPerSecond,508,英字の用語が不鮮明,BitsPerSecond,BitsPerSecond
935,2,16,BIシステム,864,用語の読み取り候補が不一致,B么,BIシステム
935,2,18,Bluetooth,264,英字の用語が不鮮明,Bluetooth,Bluetooth
935,2,19,BNF記法,116,用語の読み取り候補が不一致,BNF配法,BNF記法
935,2,20,BPO,866,英字の用語が不鮮明 / 用語の読み取り候補が不一致,BPO,BPOwonece:
935,2,21,sdq,508,英字の用語が不鮮明,sdq,bpsee
935,2,22,BusinessCon,822,英字の用語が不鮮明,BusinessCon,BusinessCon
935,2,23,BusinessIntelligence,864,英字の用語が不鮮明 / 用語の読み取り候補が不一致,BusinessIntelligence,BusinessIntelligenceav
935,2,24,Business Process Outsourcing,866,ページ認識の確度,Business Process Outsourcing,BusinessProcessOutsourcing
935,2,25,Byte,122,英字の用語が不鮮明 / 用語の読み取り候補が不一致,Byte,ByteSOeROAROOROSEDERERRERERESSEORRURERERORREREDERD
935,2,28,CapabilityMaturityModel Integration,069,ページ認識の確度 / 用語の読み取り候補が不一致,CapabilityMaturityModel Integration,CapabilityMaturityModelIntegrati
935,2,29,CAPTCHA,628,英字の用語が不鮮明,CAPTCHA,CAPTCHA
935,2,32,CC,588,用語の読み取り候補が不一致,CC,CCaeons:
935,2,33,CCD,268,英字の用語が不鮮明,CCD,cco
935,2,35,CEO,861,英字の用語が不鮮明,CEO,CEOee
935,2,36,CertificationAuthority,658,英字の用語が不鮮明,CertificationAuthority,CertificationAuthority
935,2,37,CGI,581,英字の用語が不鮮明,CGI,CGIee
935,2,38,CGM,583,英字の用語が不鮮明,CGM,CGMTTY
935,2,40,CharacterUserInterface,707,英字の用語が不鮮明,CharacterUserInterface,CharacterUserInterface
935,2,41,ChargeCoupled Device,268,用語の読み取り候補が不一致,ChargeCoupled Device,ChargeCoupledDevic
935,2,42,Cheif Information Security Office:,861,補完した行を要確認,,Cheif Information Security Office:
935,2,43,ChiefExecutiveOfficer,861,英字の用語が不鮮明 / 用語の読み取り候補が不一致,ChiefExecutiveOfficer,ChiefExecutiveOfficerwmvevvep
935,2,44,ChiefInformationOfficer,861,英字の用語が不鮮明,ChiefInformationOfficer,ChiefInformationOfficer
935,2,45,CIDR,556,英字の用語が不鮮明 / 用語の読み取り候補が不一致,CIDR,CIORMITT
935,2,46,CIO,861,英字の用語が不鮮明,CIO,cloee
935,2,47,CISC,200,英字の用語が不鮮明 / 用語の読み取り候補が不一致,CISC,CISCposes
935,2,48,CISO,861,英字の用語が不鮮明,CISO,CISO
935,2,49,Classless Inter-Domain Routing,556,用語の読み取り候補が不一致,Classless Inter-Domain Routing,ClasslessInter-DomainRoutingCTT
935,2,50,Clockcycles PerInstruction,190,用語の読み取り候補が不一致,Clockcycles PerInstruction,ClockcyclesPerInstructionee
935,2,51,CMMI,690,英字の用語が不鮮明,CMMI,CMMI
935,2,52,COBOL,353,英字の用語が不鮮明 / 用語の読み取り候補が不一致,COBOL,COBOLOLD
935,2,53,CommonGatewayInterface,581,英字の用語が不鮮明,CommonGatewayInterface,CommonGatewayInterface
935,2,54,ComplexInstructionSetComputer,200,英字の用語が不鮮明,ComplexInstructionSetComputer,ComplexInstructionSetComputer
935,2,55,ConsumerGenerated Media,583,用語の読み取り候補が不一致,ConsumerGenerated Media,ConsumerGeneratedMediadev
936,1,1,CPI,"187,190",用語の読み取り候補が不一致,CPI,CPIvance:
936,1,2,cps,275,ページ認識の確度,cps,cpser
936,1,4,CPUの高速化技術,195,用語の読み取り候補が不一致,CPUの高速化技,CPUの高速化技術
936,1,5,olin,187,補完した行を要確認 / 英字の用語が不鮮明,,olin
936,1,7,CREATETABLE文,478,ページ認識の確度,CREATETABLE文,CREATETABLE文
936,1,11,CRTディスプレイ,271,用語の読み取り候補が不一致,CRT,CRTディスプレイ
936,1,14,CUI,707,用語の読み取り候補が不一致,CUI,CUIoooeoeoeaeeaeeaeo
936,1,15,CustomerRelationshipManagement,80,ページ認識の確度 / 用語の読み取り候補が不一致,CustomerRelationshipManagement,CustomerRelationshipManageme
936,1,16,CyclicRedundancyCheck,539,用語の読み取り候補が不一致,CyclicRedundancyCheck,CyclicRedundancyCheckcna
936,1,18,DA変換,160,用語の読み取り候補が不一致,D/A变换,DA変換
936,1,19,DAT,332,用語の読み取り候補が不一致,DAT,DATconcovcccacsenscunacsccacccccsansea
936,1,21,Data Manipulation Language,457,用語の読み取り候補が不一致,Data Manipulation Language,DataManipulationLanguag
936,1,24,DDoS攻撃,625,用語の読み取り候補が不一致,DDoS攻擎,DDoS攻撃
936,1,27,DenialofService攻撃,625,用語の読み取り候補が不一致,DenialofService玫擎,DenialofService攻撃
936,1,28,DES,660,用語の読み取り候補が不一致,DES,DESTTYT
936,1,29,DESC,465,用語の読み取り候補が不一致,DESC,DOESCee
936,1,31,DHCP,562,ページ認識の確度 / 用語の読み取り候補が不一致,DHCP,DHCPee
936,1,33,DHCPDISCOVER,563,用語の読み取り候補が不一致,DHCPDISCOVER,OHCPDISCOVER
936,1,34,DHCPOFFER,563,用語の読み取り候補が不一致,DHCPOFFER,DHCPOFFERaasasasamee
936,1,35,DHCPREQUEST,563,用語の読み取り候補が不一致,DHCPREQUEST,OHCPREQUEST
936,1,36,DirectMemoryAccess制御方式,254,用語の読み取り候補が不一致,DirectMemoryAccess制御方式,DirectMemoryAccessMBAR
936,1,37,DISTINCT,463,用語の読み取り候補が不一致,DISTINCT,OISTINCTS)seeO
936,1,38,DistributedDenialofService攻,625,用語の読み取り候補が不一致,Distributed DenialofService攻攀,DistributedDenialofService攻
936,1,39,DMAコントローラ,255,用語の読み取り候補が不一致,DMA,DMAコントローラ
936,1,43,DNSSEC,625,用語の読み取り候補が不一致,DNSSEC,DNSSECee
936,1,44,DNSキャッシュポイズニング,625,用語の読み取り候補が不一致,DNS,DNSキャッシュポイズニング
936,1,46,Domain Name System,565,用語の読み取り候補が不一致,Domain Name System,DomainNameSystemences:
936,1,47,DoS攻撃,625,用語の読み取り候補が不一致,DoS攻,DoS攻撃
936,1,51,DynamicAddress Translator,332,用語の読み取り候補が不一致,DynamicAddress Translator,DynamicAddressTranslatoree
936,1,52,DynamicHost ConfigurationProtocol,562,用語の読み取り候補が不一致,DynamicHost ConfigurationProtocol,DynamicHostConfigurationProto
936,2,1,EBCDIC,127,ページ認識の確度,EBCDIC,EBCDIC
936,2,3,ECCメモ!,541,用語に記号が混入,ECCXEU,ECCメモ!
936,2,4,EO!,"869,870",用語の読み取り候補が不一致 / 用語に記号が混入,EO!,EO!asnensacansqnensy
936,2,10,EncapsulatingSecurityPayload,663,ページ認識の確度,EncapsulatingSecurityPayload,EncapsulatingSecurityPayload
936,2,13,E-R図,"699,702",用語の読み取り候補が不一致,E-R,E-R図
936,2,14,ESP,663,ページ認識の確度,ESP,ESP
936,2,15,ESSID,513,英字の用語が不鮮明,,ESSID
936,2,18,EXISTS,473,用語の読み取り候補が不一致,EXISTS,EXISTSee
936,2,21,FDM方式,276,用語の読み取り候補が不一致,FDM方式,FOMAX
936,2,22,Field ProgrammableGateArray,158,ページ認識の確度,Field ProgrammableGateArray,FieldProgrammableGateArray
936,2,24,File TransferProtocol,573,用語の読み取り候補が不一致,File TransferProtocol,FileTransferProtocoler
936,2,32,Graphical User Interface,707,補完した行を要確認,,Graphical User Interface
936,2,33,GROUPBY句,467,用語の読み取り候補が不一致,GROUPBY句,GROUPBY®)
936,2,35,HAVING句,468,用語の読み取り候補が不一致,HAVING句,HAVING®)
936,2,39,HPCクラスタ,763,用語の読み取り候補が不一致,HP,HPCクラスタ
936,2,43,HTTPS,661,用語の読み取り候補が不一致,HTTPS,HTTPS:seensneu
936,2,46,ICMP,566,ページ認識の確度,ICMP,ICMP
936,2,49,I,"261,263",用語が欠落または短い,I,I
937,1,1,IETF,575,用語の読み取り候補が不一致,IETF,IETFeas
